GISJOIN,ZCTA5CE10
G3400190011304,08822
G5300090980300,98331
G5300310950100,98331
G5300610050500,98020
G5300610050700,98020
G5300610050600,98020
G5400570010600,26726
G5400570010200,26726
G5500750960900,54177
G5500750960600,54177
G5600370971200,82901
G5600370971100,82901
G5600370970901,82901
G5600370970902,82901
G5600370970903,82901
G5600370971600,82901
G5600370971000,82901
G5600270957200,82225
G5600030992800,82431
G0100270958900,36266
G0100870981500,36866
G0100650040000,35474
G0101030005500,35622
G0100730010001,35023
G0100730013902,35023
G0100730014000,35023
G0100730010002,35023
G0101270020600,35501
G0101270020400,35501
G0101270020100,35501
G0202610000300,99686
G0201100000500,99801
G0201100000600,99801
G0201100000200,99801
G0201100000100,99801
G0201100000400,99801
G0201100000300,99801
